,ts,code,method,isPractical,majorForCourse,fstMajor,secMajor,status,gender,enterDate,m_suitable,m_comfort,m_feedback,m_boring,m_valuable,m_selfEval,m_satisfaction,m_helpful,m_timeManage,m_ta,m_share,m_discuss,m_activity,m_concentrate,m_sameMethod,emo_miss,emo_isolated,emo_anx,emo_worse,emo_meet,emo_relationship,emo_optim,cop_music,cop_walk,cop_media,cop_creative,cop_sports,cop_game,cop_sns,cop_talk,cop_sleep,cop_drink,cop_alcohol,cop_group,covidClassType,live_home,live_library,live_cafe,live_bus,rec_home,rec_library,rec_cafe,rec_bus,env_home,env_tool,env_platform,env_disturb,env_library,env_cafe,env_group,env_alone
10,2021-11-18 13:16:53.628,DSC3013,Live Online,Yes,Data science/AI/CS/Computing-related,STEM,Data science/AI/CS/Computing-related,Full time student in South Korea,Male,I started university BEFORE 2020.,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Offline,Sometimes true,Sometimes true,Sometimes true,Sometimes true,Sometimes true,Sometimes true,Sometimes true,Sometimes true,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
11,2021-11-18 13:17:22.644,DSC3013,Live Online,Yes,Data science/AI/CS/Computing-related,STEM,Data science/AI/CS/Computing-related,Full time student in South Korea,Female,I started university BEFORE 2020.,Agree,Agree,Disagree,Disagree,Strongly agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Strongly disagree,Strongly disagree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Neutral,Strongly Agree,Agree,Disagree,Agree,Neutral,Agree,"Live Online , Pre-recorded lectures , Offline",Mostly true,Mostly true,Sometimes true,Not at all true,Mostly true,Very true,Mostly true,Not at all true,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Neutral,Strongly disagree
12,2021-11-18 13:18:36.767,DSC3013,Live Online,Yes,Data science/AI/CS/Computing-related,STEM,None,Visiting student from abroad  semesters,Female,I started university BEFORE 2020.,Agree,Neutral,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Neutral,Strongly disagree,Disagree,Neutral,Neutral,Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Agree,Agree,"Live Online , Pre-recorded lectures , Offline , Flipped course",Very true,Sometimes true,Sometimes true,Sometimes true,Very true,Mostly true,Mostly true,Sometimes true,Agree,Agree,Agree,Disagree,Neutral,Neutral,Disagree,Neutral
13,2021-11-18 13:19:01.739,DSC3013,Live Online,Yes,Data science/AI/CS/Computing-related,Hybrid/Unclear,Data science/AI/CS/Computing-related,Full time student in South Korea,Male,I started university BEFORE 2020.,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Live Online,Sometimes true,Sometimes true,Sometimes true,Sometimes true,Sometimes true,Sometimes true,Sometimes true,Sometimes true,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
14,2021-11-18 13:19:20.717,DSC3013,Live Online,Yes,Data science/AI/CS/Computing-related,STEM,None,Visiting student from abroad  semesters,Female,I started university BEFORE 2020.,Disagree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Agree,Agree,Disagree,Neutral,Strongly disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly disagree,Strongly Agree,Strongly disagree,Strongly disagree,Disagree,"Live Online , Pre-recorded lectures",Sometimes true,Mostly true,A little true,Not at all true,Mostly true,Very true,Sometimes true,Not at all true,Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Strongly disagree,Strongly disagree
15,2021-11-18 13:19:48.313,DSC3013,Live Online,Yes,Data science/AI/CS/Computing-related,Hybrid/Unclear,Data science/AI/CS/Computing-related,Full time student in South Korea,Female,I started university BEFORE 2020.,Agree,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,"Live Online , Pre-recorded lectures , Offline , Flipped course",Mostly true,Sometimes true,Sometimes true,A little true,Mostly true,Very true,Sometimes true,Mostly true,Agree,Agree,Agree,Agree,Disagree,Neutral,Disagree,Agree
16,2021-11-18 13:20:27.776,DSC3013,Live Online,Yes,Data science/AI/CS/Computing-related,STEM,Business/economics related,Full time student in South Korea,Female,I started university BEFORE 2020.,Disagree,Disagree,Neutral,Neutral,Disagree,Strongly disagree,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Strongly disagree,Neutral,Disagree,Disagree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Strongly disagree,"Live Online , Pre-recorded lectures",Mostly true,A little true,Mostly true,Not at all true,Mostly true,Sometimes true,Mostly true,Not at all true,Strongly Agree,Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree
17,2021-11-18 13:21:44.591,DSC3013,Live Online,Yes,Data science/AI/CS/Computing-related,HASS,Data science/AI/CS/Computing-related,Full time student in South Korea,Male,I started university BEFORE 2020.,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Neutral,Agree,Strongly disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly disagree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Strongly disagree,Disagree,"Live Online , Pre-recorded lectures",Very true,Sometimes true,Mostly true,Not at all true,Very true,Very true,Very true,Not at all true,Agree,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Agree,Agree,Strongly Agree
18,2021-11-18 13:22:20.692,DSC3013,Live Online,Yes,Data science/AI/CS/Computing-related,STEM,Business/economics related,Visiting student from abroad  semesters,Male,I started university in 2020 or later.,Agree,Agree,Disagree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Strongly disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly Agree,Neutral,Neutral,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Disagree,Agree,Strongly disagree,Strongly disagree,Neutral,"Offline , Flipped course",Mostly true,A little true,Sometimes true,Not at all true,Mostly true,A little true,Sometimes true,Not at all true,Agree,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Strongly Agree
19,2021-11-18 13:26:42.841,DSC3013,Live Online,Yes,Data science/AI/CS/Computing-related,STEM,None,Full time student in South Korea,Female,I started university BEFORE 2020.,Agree,Agree,Neutral,Disagree,Strongly agree,Neutral,Neutral,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,"Live Online , Pre-recorded lectures , Flipped course",Mostly true,Sometimes true,Sometimes true,A little true,Sometimes true,Mostly true,Sometimes true,A little true,Agree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Disagree
20,2021-11-18 13:36:12.048,DSC3013,Live Online,Yes,Data science/AI/CS/Computing-related,HASS,Humanities,Full time student in South Korea,Female,I started university BEFORE 2020.,Neutral,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Neutral,"Live Online , Pre-recorded lectures , Offline , Flipped course",Very true,Not at all true,Not at all true,Not at all true,Very true,Sometimes true,Mostly true,Not at all true,Strongly Agree,Agree,Strongly Agree,Disagree,Neutral,Neutral,Disagree,Agree
21,2021-11-19 17:42:01.162,CLA3108,Flipped course,No,General,HASS,None,Visiting student from abroad  semesters,Female,I started university BEFORE 2020.,Strongly agree,Strongly agree,Neutral,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,"Live Online , Pre-recorded lectures , Offline , Flipped course",Very true,Not at all true,Not at all true,Not at all true,Mostly true,Mostly true,Mostly true,Not at all true,Neutral,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Strongly disagree,Strongly disagree
22,2021-11-20 14:43:21.047,CLA3108,Flipped course,No,General,HASS,Literature & Language,Full time student in South Korea,Male,I started university BEFORE 2020.,Neutral,Disagree,Disagree,Neutral,Neutral,Strongly disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,"Live Online , Pre-recorded lectures , Flipped course",Sometimes true,Not at all true,Sometimes true,Not at all true,Mostly true,Mostly true,Mostly true,A little true,Agree,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Neutral
23,2021-11-21 22:30:13.420,CLA3108,Flipped course,No,General,HASS,Humanities,Full time student in South Korea,Male,I started university BEFORE 2020.,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Agree,Disagree,Agree,Strongly disagree,Strongly Agree,Strongly disagree,Strongly disagree,Agree,Strongly Agree,Disagree,Disagree,"Live Online , Pre-recorded lectures , Flipped course",Very true,Not at all true,Not at all true,Not at all true,Very true,Very true,Mostly true,Not at all true,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree
24,2021-11-22 15:04:09.468,CLA3108,Flipped course,No,General,HASS,None,Full time student in South Korea,Female,I started university in 2020 or later.,Agree,Agree,Disagree,Disagree,Strongly agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Neutral,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Neutral,Disagree,Agree,Strongly Agree,Disagree,Agree,Agree,Strongly disagree,Strongly Agree,Strongly disagree,Neutral,Neutral,Agree,Strongly disagree,Strongly disagree,"Live Online , Pre-recorded lectures , Offline , Flipped course",Mostly true,A little true,Mostly true,Not at all true,Mostly true,Not at all true,Very true,Not at all true,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree
25,2021-11-23 16:36:02.806,DSC3022,Live Online,Yes,Data science/AI/CS/Computing-related,HASS,Data science/AI/CS/Computing-related,Full time student in South Korea,Male,I started university BEFORE 2020.,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Disagree,Neutral,Neutral,"Live Online , Pre-recorded lectures , Offline",Mostly true,Sometimes true,Sometimes true,Not at all true,Mostly true,Mostly true,Sometimes true,Not at all true,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,Strongly disagree
26,2021-11-23 16:38:03.091,DSC3022,Live Online,Yes,Data science/AI/CS/Computing-related,STEM,Data science/AI/CS/Computing-related,Full time student in South Korea,Male,I started university in 2020 or later.,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,"Live Online , Pre-recorded lectures , Offline , Flipped course",Very true,Very true,Very true,A little true,Very true,Very true,Very true,A little true,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral
27,2021-11-23 16:38:19.241,DSC3022,Live Online,Yes,Data science/AI/CS/Computing-related,HASS,None,Full time student in South Korea,Male,I started university BEFORE 2020.,Strongly agree,Strongly agree,Neutral,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Strongly disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Disagree,Disagree,"Live Online , Pre-recorded lectures",Very true,A little true,A little true,Not at all true,Very true,A little true,A little true,Not at all true,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree
28,2021-11-23 16:38:30.051,DSC3022,Live Online,Yes,Data science/AI/CS/Computing-related,STEM,Business/economics related,Visiting student from abroad  semesters,Male,I started university in 2020 or later.,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Strongly disagree,Disagree,Neutral,"Live Online , Pre-recorded lectures , Offline , Flipped course",A little true,Mostly true,A little true,Very true,A little true,Mostly true,A little true,Very true,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree
29,2021-11-23 16:38:47.914,DSC3022,Live Online,Yes,Data science/AI/CS/Computing-related,STEM,None,Full time student in South Korea,Female,I started university BEFORE 2020.,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,"Live Online , Pre-recorded lectures , Offline",Mostly true,Sometimes true,Very true,Not at all true,Mostly true,Sometimes true,Very true,A little true,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly disagree
30,2021-11-23 16:39:19.823,DSC3022,Live Online,Yes,Data science/AI/CS/Computing-related,HASS,Mathematics/Statistics,Full time student in South Korea,Female,I started university BEFORE 2020.,Agree,Agree,Strongly disagree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Neutral,Disagree,Strongly disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly disagree,Strongly disagree,"Live Online , Pre-recorded lectures",Very true,Not at all true,Sometimes true,Not at all true,Very true,Not at all true,Very true,Not at all true,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Agree,Agree,Agree
31,2021-11-23 16:40:33.925,DSC3022,Live Online,Yes,Data science/AI/CS/Computing-related,HASS,Data science/AI/CS/Computing-related,Full time student in South Korea,Male,I started university BEFORE 2020.,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,"Live Online , Pre-recorded lectures",Very true,Very true,Very true,Not at all true,Very true,Very true,Very true,Not at all true,Agree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Disagree,Strongly Agree,Strongly Agree
32,2021-11-23 16:42:04.344,DSC3022,Live Online,Yes,Data science/AI/CS/Computing-related,STEM,Social Science,Full time student in South Korea,Female,I started university BEFORE 2020.,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,"Live Online , Pre-recorded lectures , Offline",Very true,Not at all true,Not at all true,Not at all true,Very true,Not at all true,Not at all true,Not at all true,Disagree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
33,2021-11-23 16:44:33.680,DSC3022,Live Online,Yes,Data science/AI/CS/Computing-related,STEM,None,Full time student in South Korea,Male,I started university BEFORE 2020.,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,"Live Online , Pre-recorded lectures , Offline",Mostly true,Not at all true,Sometimes true,Not at all true,Mostly true,Sometimes true,Sometimes true,Not at all true,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Neutral,Agree,Strongly disagree
